id_ini,id_fin,containers,viajes,conxviaj
1,137,4,1,4
1,138,317,1,317
1,139,183,2,92
1,140,329,1,329
1,141,4072,3,1357
1,142,3288,4,822
1,143,4319,4,1080
1,144,622,2,311
1,145,6295,10,630
1,146,1,1,1
1,147,2,2,1
1,148,1346,3,449
1,149,1,1,1
1,150,5,1,5
1,151,1,1,1
1,152,5128,4,1282
1,153,3386,4,847
1,154,752,1,752
1,155,1993,3,664
1,156,4,2,2
1,157,982,2,491
1,158,1,1,1
1,159,3319,2,1660
1,160,1,1,1
1,161,3,1,3
1,162,1,1,1
1,163,314,2,157
1,164,136,3,45
1,165,1090,2,545
1,166,1,1,1
1,167,1955,3,652
1,168,1,1,1
1,169,10,3,3
1,170,732,7,105
1,171,95,1,95
1,172,2976,3,992
1,173,13,1,13
1,174,158,2,79
1,175,6,2,3
1,176,1,1,1
1,177,321,2,161
1,178,840,1,840
1,179,1804,3,601
1,180,2015,3,672
1,181,1906,3,635
1,182,1828,3,609
1,183,702,1,702
1,184,993,1,993
1,185,93,1,93
1,186,3187,4,797
1,187,1169,2,585
1,188,2264,3,755
1,189,1845,3,615
1,190,2,1,2
1,191,3,1,3
1,192,2,1,2
1,193,2,1,2
1,194,1,1,1
1,195,3,1,3
1,196,1,1,1
1,197,20,1,20
1,198,16,1,16
1,199,13,3,4
1,200,2208,7,315
1,201,1,1,1
1,202,17,1,17
1,203,2,1,2
1,204,5,1,5
1,205,1,1,1
1,206,4,2,2
1,207,2,1,2
1,208,2,1,2
1,209,1,1,1
1,210,141,1,141
1,211,1,1,1
1,212,57,1,57
1,213,1,1,1
1,214,3,1,3
1,215,123,1,123
1,216,3,1,3
1,217,1,1,1
1,218,3,1,3
1,219,1,1,1
1,220,2,1,2
1,221,613,2,307
1,222,64,1,64
1,223,5061,8,633
1,224,775,8,97
1,225,689,8,86
1,226,1,1,1
1,227,306,2,153
1,228,2,1,2
1,229,5945,15,396
1,230,129,2,65
1,231,1,1,1
1,232,5468,14,391
1,233,1,1,1
1,234,1523,1,1523
1,235,3,2,2
1,236,1,1,1
1,237,3,1,3
1,238,268,3,89
1,239,1820,1,1820
1,240,3,3,1
1,241,262,1,262
1,242,251,1,251
1,243,1282,3,427
1,244,1,1,1
1,245,3,1,3
1,246,6,2,3
1,247,1,1,1
1,248,1,1,1
1,249,3,1,3
1,250,105,1,105
1,251,1277,4,319
1,252,5882,20,294
1,253,5261,20,263
1,254,2,1,2
1,255,2,1,2
1,256,3096,6,516
1,257,274,3,91
1,258,1,1,1
1,259,1,1,1
1,260,1,1,1
1,261,1,1,1
1,262,1634,4,409
1,263,480,1,480
1,264,564,2,282
1,265,1396,3,465
1,266,266,1,266
1,267,536,2,268
1,268,382,1,382
1,269,704,2,352
1,270,1,1,1
1,271,193,2,97
1,272,1,1,1
1,273,5,3,2
1,274,3,1,3
1,275,1,1,1
1,276,1,1,1
1,277,1,1,1
1,278,2,1,2
1,279,1,1,1
1,280,562,2,281
1,281,12,1,12
1,282,4,2,2
1,283,1005,4,251
1,284,519,4,130
1,285,404,3,135
1,286,786,6,131
1,287,534,4,134
1,288,1304,4,326
1,289,906,6,151
1,290,728,5,146
1,291,210,4,53
1,292,231,2,116
1,293,1851,1,1851
1,294,1811,5,362
1,295,1811,1,1811
1,296,4308,3,1436
1,297,1779,1,1779
1,298,3952,7,565
1,299,3530,3,1177
1,300,777,1,777
1,301,1263,1,1263
1,302,1269,1,1269
1,303,3348,2,1674
1,304,1413,1,1413
1,305,1640,1,1640
1,306,2954,2,1477
1,307,634,1,634
1,308,5,1,5
1,309,1,1,1
1,310,1102,4,276
1,311,6776,22,308
1,312,3,3,1
1,313,1,1,1
1,314,1,1,1
1,315,107,1,107
1,316,1,1,1
1,317,2,1,2
1,318,4,1,4
1,319,2,1,2
1,320,1,1,1
1,321,294,1,294
1,322,1,1,1
1,323,1,1,1
1,324,2,1,2
1,325,1,1,1
1,326,1,1,1
1,327,251,5,50
1,328,4708,7,673
1,329,10,1,10
1,330,620,1,620
1,331,10,1,10
1,332,222,1,222
1,333,6915,13,532
1,334,1887,4,472
1,335,1384,3,461
1,336,2849,6,475
1,337,808,2,404
1,338,3732,7,533
1,339,2117,2,1059
1,340,6558,15,437
1,341,6897,7,985
1,342,1528,3,509
1,343,2038,3,679
1,344,2645,4,661
1,345,1777,2,889
1,346,4408,4,1102
1,347,7752,16,485
1,348,2774,6,462
1,349,5451,6,909
1,350,1298,2,649
1,351,3184,4,796
1,352,678,2,339
1,353,3090,5,618
1,354,4026,8,503
1,355,3245,4,811
1,356,6009,6,1002
1,357,604,1,604
1,358,2234,2,1117
1,359,3212,5,642
1,360,1455,2,728
1,361,233,1,233
1,362,596,2,298
1,363,852,1,852
1,364,2266,3,755
1,365,4328,10,433
1,366,2113,1,2113
1,367,2876,4,719
1,368,2325,3,775
1,369,6055,6,1009
1,370,4334,7,619
1,371,1,1,1
1,372,1,1,1
1,373,1,1,1
1,374,1,1,1
1,375,12,3,4
1,376,3,1,3
1,377,1429,3,476
1,378,160,1,160
1,379,2,1,2
1,380,3,1,3
1,381,1,1,1
1,382,4,1,4
1,383,4,1,4
1,384,1,1,1
1,385,2,1,2
1,386,1,1,1
1,387,2,1,2
1,388,9,2,5
1,389,1,1,1
